doc,query_id,label
doc_324,Q5,1
doc_924,Q5,1
doc_3928,Q5,1
doc_244,Q5,1
doc_1633,Q5,1
doc_1831,Q5,1
doc_925,Q5,1
doc_324,Q5,1
doc_2090,Q5,1
doc_2266,Q5,1
doc_3951,Q5,0
doc_1187,Q5,0
doc_1943,Q5,0
doc_1597,Q5,0
doc_963,Q5,0
doc_3107,Q5,0
doc_3254,Q5,0
doc_645,Q5,0
doc_3507,Q5,0
doc_800,Q5,0
doc_2814,Q4,1
doc_3841,Q4,1
doc_779,Q4,1
doc_773,Q4,1
doc_3573,Q4,1
doc_2603,Q4,1
doc_1745,Q4,1
doc_2587,Q4,1
doc_1731,Q4,1
doc_3557,Q4,1
doc_237,Q4,0
doc_2234,Q4,0
doc_751,Q4,0
doc_3556,Q4,0
doc_1725,Q4,0
doc_2413,Q4,0
doc_2582,Q4,0
doc_757,Q4,0
doc_2,Q4,0
doc_4,Q4,0
doc_1540,Q3,1
doc_2951,Q3,1
doc_2753,Q3,1
doc_3112,Q3,1
doc_2741,Q3,1
doc_2811,Q3,1
doc_2316,Q3,1
doc_2976,Q3,1
doc_362,Q3,1
doc_822,Q3,1
doc_1622,Q3,0
doc_1018,Q3,0
doc_1333,Q3,0
doc_198,Q3,0
doc_1035,Q3,0
doc_1,Q3,0
doc_1803,Q3,0
doc_864,Q3,0
doc_1269,Q3,0
doc_1458,Q3,0
doc_2394,Q2,1
doc_656,Q2,1
doc_654,Q2,1
doc_470,Q2,1
doc_3996,Q2,1
doc_3434,Q2,1
doc_1199,Q2,1
doc_2494,Q2,1
doc_1474,Q2,1
doc_3723,Q2,1
doc_2328,Q2,0
doc_475,Q2,0
doc_1389,Q2,0
doc_829,Q2,0
doc_834,Q2,0
doc_2573,Q2,0
doc_3869,Q2,0
doc_555,Q2,0
doc_1749,Q2,0
doc_2312,Q2,0
doc_3754,Q1,1
doc_3395,Q1,1
doc_3327,Q1,1
doc_3107,Q1,1
doc_3453,Q1,1
doc_2087,Q1,1
doc_3645,Q1,1
doc_2801,Q1,1
doc_2443,Q1,1
doc_1699,Q1,1
doc_291,Q1,0
doc_2444,Q1,0
doc_698,Q1,0
doc_689,Q1,0
doc_324,Q1,0
doc_3057,Q1,0
doc_1078,Q1,0
doc_1077,Q1,0
doc_1505,Q1,0
doc_523,Q1,0
